金01,111111,on
金02,222222,off
金03,122227,on
金04,444444,on
金05,333333,on
金06,888888,on
金07,777777,on
金08,999999,on
金09,666666,on
金10,122222,on
木01,122223,on
木02,122224,on
木03,122225,on
木04,122226,on
木05,555555,on
木06,122228,on
木07,122229,on
木08,122230,on
木09,122231,on
木10,122232,on
水01,122233,on
水02,122234,on
水03,122235,on
水04,122236,on
水05,122237,on
水06,122238,on
水07,122239,on
水08,122240,on
水09,122241,on
水10,122242,on
火01,122243,on
火02,122244,on
火03,122245,on
火04,122246,on
火05,122247,on
火06,122248,on
火07,122249,on
火08,122250,on
火09,122251,off
火10,122252,on
土01,122253,on
土02,122254,on
土03,122255,on
土04,122256,on
土05,122257,on
土06,122258,on
土07,122259,on
土08,122260,on
土09,122261,on
土10,122262,on
